,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
216,CHEMBL420333,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(I)cc1)c1ccc(I)cc1)N2C,active,617.265,5.026100000000006,0.0,4.0,6.041436116778033
217,CHEMBL338566,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccccc1)c1ccc(F)cc1)N2C,active,383.4630000000001,3.956000000000003,0.0,4.0,7.87942606879415
218,CHEMBL124854,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2Cc1ccccc1,active,477.55100000000016,5.665500000000005,0.0,4.0,6.651695136951839
219,CHEMBL333331,COC(=O)C1C2CCC(C[C@@H]1OC(c1ccc(Cl)cc1)c1ccc(Cl)cc1)N2C,active,434.36300000000006,5.123700000000006,0.0,4.0,7.039053804266168
220,CHEMBL80515,COC(=O)C1C2CCC(CC1c1ccc(F)cc1)N2,active,263.31199999999995,2.2228,1.0,3.0,7.4723700991286615
221,CHEMBL14391,COC(=O)C1C(c2ccc(I)cc2)CC2CCC1N2C,active,385.2450000000001,3.0305000000000017,0.0,3.0,8.96657624451305
223,CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,active,303.35800000000006,1.8677,0.0,5.0,7.0195421077238995
224,CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,active,328.2390000000001,3.732700000000003,0.0,3.0,8.962573502059376
225,CHEMBL171106,COC(=O)C1C(c2cccc(Br)c2)CC2CCC1N2C,active,338.24500000000006,3.1884000000000015,0.0,3.0,8.100726812682396
228,CHEMBL306208,COC(=O)C1C(c2ccc(Cl)cc2)CC2CCC1N2C,active,293.794,3.0793000000000017,0.0,3.0,8.853871964321762
230,CHEMBL169471,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)N2,active,314.212,3.390500000000001,1.0,3.0,9.18045606445813
231,CHEMBL50858,COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(Cl)c(C)c1)N2C,active,307.821,3.3877200000000016,0.0,3.0,9.221848749616356
232,CHEMBL120512,CN1CCN(C2Cn3cccc3Sc3ccc(Cl)cc32)CC1,active,333.8880000000001,3.594800000000002,0.0,4.0,5.187086643357144
233,CHEMBL894,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,active,239.746,3.2993000000000023,1.0,2.0,5.5376020021010435
234,CHEMBL103504,CCC[C@@]1(O)CN2C3CC[C@@H]2C[C@H](c2ccc(C)cc2)C31,active,285.431,3.476320000000002,1.0,2.0,6.428291168191312
235,CHEMBL101250,Cc1ccc([C@H]2C[C@H]3CCC4C2[C@](C)(O)CN43)cc1,active,257.377,2.6961200000000005,1.0,2.0,6.4089353929735005
236,CHEMBL430840,O=C1CN2C3CC[C@@H]2C[C@H](c2ccc(F)cc2)C13,inactive,245.297,2.3449,0.0,2.0,5.478861916295964
237,CHEMBL101905,C=C1CN2C3CC[C@@H]2C[C@H](c2ccc(C)cc2)C13,active,239.362,3.5013200000000024,0.0,1.0,7.173925197299173
238,CHEMBL321067,Cc1ccc([C@H]2C[C@H]3CCC4C2[C@@](O)(c2ccccc2)CN43)cc1,active,319.4480000000001,3.832920000000003,1.0,2.0,7.050609993355087
239,CHEMBL103701,CCCC1C2C3CCN2[C@H](C3)C[C@@H]1c1ccc(C)cc1,active,269.43199999999996,4.361420000000004,0.0,1.0,6.2441251443275085
240,CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,active,303.35800000000006,1.8677,0.0,5.0,6.521433504406157
241,CHEMBL419728,Cc1ccc([C@H]2C[C@H]3CCC4C2[C@@](O)(c2ccc(Cl)cc2)CN43)cc1,active,353.8930000000001,4.486320000000004,1.0,2.0,7.356547323513812
242,CHEMBL102018,Cc1ccc([C@H]2C[C@H]3CCC4C2C(=O)CN43)cc1,inactive,241.334,2.514220000000001,0.0,2.0,6.269217724333611
243,CHEMBL89208,COC(=O)C1C(c2ccccc2)CC2[C@@H](O)CC1N2C,active,275.348,1.3966999999999998,1.0,4.0,4.486782399932061
245,CHEMBL330228,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2C[C@@H](O)C1N2C,inactive,344.23800000000006,2.703500000000001,1.0,4.0,8.924453038607469
246,CHEMBL89476,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2C[C@H](O)C1N2C,active,344.23800000000006,2.703500000000001,1.0,4.0,8.517126416391246
247,CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,active,328.2390000000001,3.732700000000003,0.0,3.0,8.962573502059376
249,CHEMBL89754,COC(=O)C1=C(c2ccccc2)CC2C[C@@H](O)C1N2C,active,273.332,1.4505,1.0,4.0,5.0
250,CHEMBL1790051,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,active,295.81,2.847700000000002,0.0,3.0,7.187086643357144
251,CHEMBL89662,COC(=O)C1=C(c2ccccc2)CC2CCC1N2C,active,257.33299999999997,2.4797000000000002,0.0,3.0,5.586700235918748
252,CHEMBL89756,COC(=O)C1=C(c2ccccc2)CC2[C@@H](O)CC1N2C,active,273.332,1.4505,1.0,4.0,3.8239087409443187
253,CHEMBL86710,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CC2C[C@@H](O)C1N2C,active,342.22200000000004,2.7573000000000008,1.0,4.0,7.712198270069774
254,CHEMBL606929,COC(=O)[C@@H]1C(c2ccc(Cl)c(Cl)c2)C[C@H]2C[C@@H](O)C1N2C,active,344.23800000000006,2.703500000000001,1.0,4.0,9.119186407719209
255,CHEMBL89208,COC(=O)C1C(c2ccccc2)CC2[C@@H](O)CC1N2C,active,275.348,1.3966999999999998,1.0,4.0,5.211124884224583
256,CHEMBL606930,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)C[C@H]2C[C@@H](O)C1N2C,active,342.22200000000004,2.7573000000000008,1.0,4.0,8.132532512140948
257,CHEMBL88246,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2[C@H](O)CC1N2C,active,344.23800000000006,2.703500000000001,1.0,4.0,7.478861916295964
