molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL607430,COC(=O)C1C2CC[C@H](C[C@@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,11700.0,active
CHEMBL300226,COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,1.08,active
CHEMBL132683,COC(=O)C1C(c2ccc(O)c(O)c2)CC2CCC1N2C,406.0,active
CHEMBL544370,Cl.OC1(c2ccc3c(c2)OCO3)c2ccccc2C2=NCCCN21,1.09,active
CHEMBL544370,Cl.OC1(c2ccc3c(c2)OCO3)c2ccccc2C2=NCCCN21,2.21,active
CHEMBL417049,CN(CCOC(c1ccccc1)c1ccccc1)C1CCN(CCCc2ccccc2)CC1,330.0,active
CHEMBL26320,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,18.0,active
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,296.0,active
CHEMBL336100,OC1(c2ccc(Cl)cc2)c2cccc(F)c2C2=NCCN21,12.3,active
CHEMBL336100,OC1(c2ccc(Cl)cc2)c2cccc(F)c2C2=NCCN21,91.0,active
CHEMBL781,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,42.6,active
CHEMBL781,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,43.0,active
CHEMBL67024,Fc1ccc(CCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,320.0,active
CHEMBL130668,Oc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,59.0,active
CHEMBL443797,CN(CCCc1ccccc1)C1CCN(CCOC(c2ccccc2)c2ccccc2)CC1,210.0,active
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,190.0,active
CHEMBL421867,c1ccc(CCCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,390.0,active
CHEMBL336940,COc1cccc2c1C1=NCCN1C2(O)c1ccc(Cl)cc1,4.75,intermediate
CHEMBL336940,COc1cccc2c1C1=NCCN1C2(O)c1ccc(Cl)cc1,42.0,active
CHEMBL66112,Fc1ccc(CCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,500.0,active
CHEMBL133043,COc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,30.4,active
CHEMBL415522,OC1(c2ccc3c(c2)OCCO3)c2ccccc2C2=NCCN21,1260.0,active
CHEMBL435787,OC1(c2ccc3c(c2)OCO3)c2ccccc2C2=NCCN21,113.0,active
CHEMBL133902,OC1(c2ccccc2)c2ccccc2C2=NCCN21,730.0,active
CHEMBL132962,CC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCCN21,125.0,active
CHEMBL334596,OC1(c2ccc(Cl)cc2)c2cccc(-c3ccccc3)c2C2=NCCN21,390.0,active
CHEMBL63703,c1ccc(CN2CCC(NCCOC(c3ccccc3)c3ccccc3)CC2)cc1,270.0,active
CHEMBL415523,OC1(c2ccc(Cl)cc2)c2c(ccc3c2OCO3)C2=NCCN21,359.0,active
CHEMBL67203,c1ccc(CCCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,150.0,active
CHEMBL132683,COC(=O)C1C(c2ccc(O)c(O)c2)CC2CCC1N2C,507.0,active
CHEMBL129832,COc1ccc(C2(O)c3ccccc3C3=NCCN32)cc1,110.0,active
CHEMBL59,NCCc1ccc(O)c(O)c1,460.0,active
CHEMBL130477,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCCN21,3.7,active
CHEMBL130477,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCCN21,4.2,intermediate
CHEMBL132955,OC1(c2ccc(Cl)cc2)c2cc(Cl)c(Cl)cc2C2=NCCN21,6.0,active
